DateKey,Date,Year,Quarter,Month,Day,WeekdayName
11575985188735626782,2022-03-25,2022,1,3,25,Friday
11575985188735626782,2022-03-25,2022,1,3,25,Friday
11575985188735626782,2022-03-25,2022,1,3,25,Friday
11575985188735626782,2022-03-25,2022,1,3,25,Friday
11575985188735626782,2022-03-25,2022,1,3,25,Friday
11575985188735626782,2022-03-25,2022,1,3,25,Friday
11575985188735626782,2022-03-25,2022,1,3,25,Friday
11575985188735626782,2022-03-25,2022,1,3,25,Friday
11575985188735626782,2022-03-25,2022,1,3,25,Friday
11575985188735626782,2022-03-25,2022,1,3,25,Friday
11575985188735626782,2022-03-25,2022,1,3,25,Friday
11575985188735626782,2022-03-25,2022,1,3,25,Friday
11575985188735626782,2022-03-25,2022,1,3,25,Friday
11575985188735626782,2022-03-25,2022,1,3,25,Friday
11575985188735626782,2022-03-25,2022,1,3,25,Friday
11575985188735626782,2022-03-25,2022,1,3,25,Friday
11575985188735626782,2022-03-25,2022,1,3,25,Friday
11575985188735626782,2022-03-25,2022,1,3,25,Friday
11575985188735626782,2022-03-25,2022,1,3,25,Friday
11575985188735626782,2022-03-25,2022,1,3,25,Friday
11575985188735626782,2022-03-25,2022,1,3,25,Friday
11575985188735626782,2022-03-25,2022,1,3,25,Friday
11575985188735626782,2022-03-25,2022,1,3,25,Friday
11575985188735626782,2022-03-25,2022,1,3,25,Friday
11575985188735626782,2022-03-25,2022,1,3,25,Friday
11575985188735626782,2022-03-25,2022,1,3,25,Friday
11575985188735626782,2022-03-25,2022,1,3,25,Friday
11575985188735626782,2022-03-25,2022,1,3,25,Friday
11575985188735626782,2022-03-25,2022,1,3,25,Friday
11575985188735626782,2022-03-25,2022,1,3,25,Friday
11575985188735626782,2022-03-25,2022,1,3,25,Friday
11575985188735626782,2022-03-25,2022,1,3,25,Friday
11575985188735626782,2022-03-25,2022,1,3,25,Friday
11575985188735626782,2022-03-25,2022,1,3,25,Friday
11575985188735626782,2022-03-25,2022,1,3,25,Friday
11575985188735626782,2022-03-25,2022,1,3,25,Friday
11575985188735626782,2022-03-25,2022,1,3,25,Friday
11575985188735626782,2022-03-25,2022,1,3,25,Friday
11575985188735626782,2022-03-25,2022,1,3,25,Friday
11575985188735626782,2022-03-25,2022,1,3,25,Friday
11575985188735626782,2022-03-25,2022,1,3,25,Friday
11575985188735626782,2022-03-25,2022,1,3,25,Friday
11575985188735626782,2022-03-25,2022,1,3,25,Friday
6843114217970202608,2021-03-15,2021,1,3,15,Monday
2981097833171324155,2021-03-22,2021,1,3,22,Monday
2981097833171324155,2021-03-22,2021,1,3,22,Monday
2028320194949159089,2021-03-29,2021,1,3,29,Monday
2028320194949159089,2021-03-29,2021,1,3,29,Monday
13044911182906587037,2022-03-14,2022,1,3,14,Monday
13044911182906587037,2022-03-14,2022,1,3,14,Monday
13044911182906587037,2022-03-14,2022,1,3,14,Monday
5419526802176361214,2022-03-21,2022,1,3,21,Monday
5419526802176361214,2022-03-21,2022,1,3,21,Monday
5419526802176361214,2022-03-21,2022,1,3,21,Monday
5419526802176361214,2022-03-21,2022,1,3,21,Monday
5419526802176361214,2022-03-21,2022,1,3,21,Monday
5419526802176361214,2022-03-21,2022,1,3,21,Monday
5419526802176361214,2022-03-21,2022,1,3,21,Monday
5419526802176361214,2022-03-21,2022,1,3,21,Monday
5419526802176361214,2022-03-21,2022,1,3,21,Monday
5419526802176361214,2022-03-21,2022,1,3,21,Monday
9448046028183604997,2021-03-14,2021,1,3,14,Sunday
15275552588687125614,2021-03-21,2021,1,3,21,Sunday
15275552588687125614,2021-03-21,2021,1,3,21,Sunday
17497468451047263832,2021-03-28,2021,1,3,28,Sunday
17497468451047263832,2021-03-28,2021,1,3,28,Sunday
17497468451047263832,2021-03-28,2021,1,3,28,Sunday
17497468451047263832,2021-03-28,2021,1,3,28,Sunday
11679869497218241204,2022-03-13,2022,1,3,13,Sunday
11679869497218241204,2022-03-13,2022,1,3,13,Sunday
11679869497218241204,2022-03-13,2022,1,3,13,Sunday
11679869497218241204,2022-03-13,2022,1,3,13,Sunday
18259846071580829696,2022-03-20,2022,1,3,20,Sunday
18259846071580829696,2022-03-20,2022,1,3,20,Sunday
18259846071580829696,2022-03-20,2022,1,3,20,Sunday
18259846071580829696,2022-03-20,2022,1,3,20,Sunday
18259846071580829696,2022-03-20,2022,1,3,20,Sunday
18259846071580829696,2022-03-20,2022,1,3,20,Sunday
18259846071580829696,2022-03-20,2022,1,3,20,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
